category_id,category_level1,category_level2,category_level3
1000021794,0,0,0
1000012764,1,1,1
1000012776,1,1,2
1000012768,1,1,3
1000012755,1,2,4
1000012738,1,3,5
1000012732,1,3,6
1000013163,1,3,7
1000012712,1,4,8
1000012718,1,4,9
1000016200,2,5,10
1000016202,2,5,11
1000016204,2,5,12
1000016210,2,5,13
1000021524,2,5,14
1000016212,2,5,15
1000016220,2,5,16
1000016206,2,5,17
1000016214,2,5,18
1000016216,2,5,19
1000016222,2,5,20
1000016226,2,6,21
1000016228,2,6,22
1000016230,2,6,23
1000016232,2,6,24
1000016234,2,6,25
1000016236,2,6,26
1000016238,2,6,27
1000016240,2,6,28
1000016224,2,6,29
1000016242,2,6,30
1000016244,2,6,31
1000016248,2,6,32
1000016246,2,6,33
1000016250,2,7,34
1000016256,2,7,35
1000016258,2,7,36
1000016260,2,7,37
1000016262,2,7,38
1000016266,2,7,39
1000016252,2,7,40
1000016264,2,7,41
1000016268,2,8,42
1000016270,2,8,43
1000016272,2,8,44
1000016274,2,8,45
1000016288,2,8,46
1000016276,2,8,47
1000016278,2,8,48
1000016280,2,8,49
1000016282,2,8,50
1000016284,2,8,51
1000016286,2,8,52
1000016290,2,9,53
1000016296,2,9,54
1000016292,2,9,55
1000016294,2,9,56
1000016302,2,10,57
1000016306,2,10,58
1000016308,2,10,59
1000016298,2,10,60
1000016300,2,10,61
1000016330,2,10,62
1000016314,2,10,63
1000016316,2,10,64
1000016322,2,10,65
1000016371,2,11,66
1000016332,2,11,67
1000016334,2,11,68
1000016338,2,11,69
1000016340,2,11,70
1000016342,2,11,71
1000016344,2,11,72
1000016356,2,11,73
1000016346,2,11,74
1000016373,2,11,75
1000016348,2,11,76
1000016350,2,11,77
1000016352,2,11,78
1000016353,2,11,79
1000016362,2,11,80
1000016364,2,11,81
1000016366,2,11,82
1000016369,2,11,83
1000016375,2,12,84
1000016377,2,12,85
1000016397,2,12,86
1000016381,2,12,87
1000016395,2,12,88
1000016379,2,12,89
1000016383,2,12,90
1000016385,2,12,91
1000022497,2,12,92
1000016387,2,12,93
1000016389,2,12,94
1000016391,2,12,95
1000016400,2,13,96
1000016402,2,13,97
1000016404,2,13,98
1000021520,2,13,99
1000016406,2,13,100
1000016398,2,13,101
1000016408,2,13,102
1000021522,2,13,103
1000016416,2,13,104
1000016410,2,13,105
1000016412,2,13,106
1000016414,2,13,107
1000016418,2,14,108
1000016420,2,14,109
1000016422,2,14,110
1000016424,2,14,111
1000016426,2,14,112
1000016428,2,14,113
1000016430,2,14,114
1000016432,2,14,115
1000016434,2,14,116
1000016440,2,14,117
1000016442,2,14,118
1000016444,2,14,119
1000016446,2,14,120
1000016448,2,15,121
1000016454,2,15,122
1000021802,2,15,123
1000016452,2,15,124
1000016458,2,16,125
1000016460,2,16,126
1000016462,2,16,127
1000016464,2,16,128
1000016472,2,16,129
1000016466,2,16,130
1000016468,2,16,131
1000016456,2,16,132
1000016474,2,16,133
1000016476,2,16,134
1000016478,2,16,135
1000016480,2,17,136
1000016482,2,17,137
1000016492,2,17,138
1000016490,2,17,139
1000016484,2,17,140
1000016486,2,17,141
1000016488,2,17,142
1000016494,2,18,143
1000016496,2,18,144
1000016498,2,18,145
1000016506,2,18,146
1000016500,2,18,147
1000016502,2,18,148
1000016504,2,18,149
1000016508,2,19,150
1000016510,2,19,151
1000016512,2,19,152
1000016514,2,19,153
1000016516,2,19,154
1000016518,2,19,155
1000016520,2,19,156
1000016522,2,19,157
1000016542,2,19,158
1000016524,2,19,159
1000016526,2,19,160
1000016528,2,19,161
1000016530,2,19,162
1000016532,2,19,163
1000016534,2,19,164
1000016536,2,19,165
1000016538,2,19,166
1000016540,2,19,167
1000017266,3,20,168
1000012391,4,21,169
1000012371,4,21,170
1000012373,4,21,171
1000012377,4,21,172
1000012379,4,21,173
1000012436,4,21,174
1000012381,4,21,175
1000012383,4,21,176
1000012639,4,21,177
1000012665,4,21,178
1000020713,4,21,179
1000012867,4,21,180
1000015286,4,21,181
1000012385,4,21,182
1000020745,4,21,183
1000012387,4,21,184
1000012389,4,21,185
1000012393,4,21,186
1000012395,4,21,187
1000012397,4,21,188
1000012399,4,21,189
1000012401,4,21,190
1000012403,4,21,191
1000012405,4,21,192
1000013167,4,21,193
1000012476,4,21,194
1000020747,4,22,195
1000003349,4,22,196
1000020719,4,22,197
1000002194,4,22,198
1000002208,4,22,199
1000002198,4,22,200
1000002200,4,22,201
1000002202,4,22,202
1000007424,4,22,203
1000020751,4,22,204
1000002204,4,22,205
1000002206,4,22,206
1000015712,4,23,207
1000003351,4,23,208
1000002213,4,23,209
1000002215,4,23,210
1000002217,4,23,211
1000015716,4,23,212
1000002219,4,23,213
1000002223,4,23,214
1000015722,4,23,215
1000002225,4,23,216
1000015714,4,23,217
1000002227,4,23,218
1000015726,4,23,219
1000002221,4,23,220
1000002229,4,23,221
1000015728,4,23,222
1000003353,4,23,223
1000002233,4,23,224
1000015718,4,23,225
1000002235,4,23,226
1000013099,4,23,227
1000002231,4,23,228
1000012884,4,23,229
1000002237,4,23,230
1000002239,4,23,231
1000002241,4,23,232
1000002243,4,23,233
1000015720,4,23,234
1000002246,4,24,235
1000002248,4,24,236
1000002252,4,24,237
1000020725,4,24,238
1000002250,4,24,239
1000002254,4,24,240
1000020723,4,24,241
1000002258,4,24,242
1000002262,4,24,243
1000002264,4,24,244
1000002452,4,24,245
1000013194,4,24,246
1000002266,4,24,247
1000002268,4,24,248
1000003468,4,25,249
1000002512,4,25,250
1000022195,4,25,251
1000002304,4,26,252
1000002271,4,26,253
1000012669,4,26,254
1000002273,4,26,255
1000002275,4,26,256
1000012643,4,26,257
1000002277,4,26,258
1000002279,4,26,259
1000012641,4,26,260
1000007807,4,26,261
1000002281,4,26,262
1000009116,4,26,263
1000002285,4,26,264
1000002287,4,26,265
1000002289,4,26,266
1000002291,4,26,267
1000002293,4,26,268
1000002295,4,26,269
1000002299,4,26,270
1000002301,4,26,271
1000020759,4,27,272
1000002310,4,27,273
1000002312,4,27,274
1000002316,4,27,275
1000002318,4,27,276
1000002320,4,27,277
1000002322,4,27,278
1000020763,4,27,279
1000020765,4,27,280
1000002326,4,27,281
1000002328,4,27,282
1000007403,4,27,283
1000002330,4,27,284
1000020767,4,27,285
1000002332,4,27,286
1000002324,4,27,287
1000002314,4,27,288
1000020727,4,27,289
1000002334,4,27,290
1000002336,4,27,291
1000020729,4,27,292
1000003489,4,27,293
1000002338,4,27,294
1000002340,4,27,295
1000003519,4,27,296
1000002342,4,27,297
1000002344,4,27,298
1000002346,4,27,299
1000002348,4,27,300
1000002350,4,27,301
1000002354,4,27,302
1000002352,4,27,303
1000002308,4,27,304
1000002356,4,27,305
1000020761,4,27,306
1000015504,4,27,307
1000015502,4,27,308
1000015506,4,27,309
1000015508,4,27,310
1000015498,4,27,311
1000015500,4,27,312
1000015510,4,27,313
1000015702,4,27,314
1000002373,4,28,315
1000002361,4,28,316
1000003500,4,28,317
1000002363,4,28,318
1000020769,4,28,319
1000002375,4,28,320
1000002365,4,28,321
1000002369,4,28,322
1000009407,4,28,323
1000002371,4,28,324
1000009314,4,29,325
1000002393,4,29,326
1000002395,4,29,327
1000002389,4,29,328
1000002397,4,29,329
1000002399,4,29,330
1000002401,4,29,331
1000003550,4,29,332
1000002403,4,29,333
1000002405,4,29,334
1000002391,4,29,335
1000002409,4,29,336
1000020771,4,29,337
1000003347,4,29,338
1000002411,4,29,339
1000017191,4,29,340
1000020741,4,29,341
1000002413,4,29,342
1000002415,4,29,343
1000002419,4,29,344
1000002421,4,29,345
1000002407,4,29,346
1000002423,4,29,347
1000009086,4,29,348
1000002425,4,29,349
1000003275,4,29,350
1000013152,4,29,351
1000002427,4,29,352
1000002429,4,29,353
1000002431,4,29,354
1000003466,4,29,355
1000003345,4,29,356
1000002433,4,29,357
1000002435,4,29,358
1000002437,4,29,359
1000002441,4,29,360
1000002439,4,29,361
1000002443,4,29,362
1000003357,4,29,363
1000002445,4,29,364
1000002447,4,29,365
1000015313,4,29,366
1000002449,4,29,367
1000002451,4,29,368
1000002378,4,30,369
1000002380,4,30,370
1000002382,4,30,371
1000002386,4,30,372
1000008692,4,30,373
1000002458,4,31,374
1000020737,4,31,375
1000003464,4,31,376
1000002462,4,31,377
1000020731,4,31,378
1000020739,4,31,379
1000003498,4,31,380
1000002464,4,31,381
1000002466,4,31,382
1000002468,4,31,383
1000003397,4,31,384
1000020733,4,31,385
1000008678,4,31,386
1000002470,4,31,387
1000015288,4,31,388
1000002472,4,31,389
1000002474,4,31,390
1000015732,4,31,391
1000002478,4,31,392
1000002481,4,31,393
1000002483,4,31,394
1000020735,4,31,395
1000002476,4,31,396
1000002486,4,32,397
1000002488,4,32,398
1000020773,4,32,399
1000002498,4,32,400
1000002500,4,32,401
1000002492,4,32,402
1000002496,4,32,403
1000002490,4,32,404
1000020743,4,32,405
1000012563,5,33,406
1000012561,5,33,407
1000012569,5,33,408
1000012573,5,33,409
1000012571,5,33,410
1000012567,5,33,411
1000012577,5,33,412
1000012579,5,33,413
1000012565,5,33,414
1000012581,5,33,415
1000012518,5,34,416
1000012520,5,34,417
1000012522,5,34,418
1000012524,5,34,419
1000012511,5,35,420
1000012509,5,35,421
1000012513,5,35,422
1000012501,5,35,423
1000012493,5,35,424
1000012495,5,35,425
1000012503,5,35,426
1000012515,5,35,427
1000012499,5,35,428
1000012505,5,35,429
1000012497,5,35,430
1000012550,5,36,431
1000012552,5,36,432
1000015623,5,36,433
1000012548,5,36,434
1000012540,5,36,435
1000012544,5,36,436
1000012554,5,36,437
1000012558,5,36,438
1000012610,5,36,439
1000019748,5,36,440
1000012546,5,36,441
1000012556,5,36,442
1000012542,5,36,443
1000015325,5,36,444
1000012529,5,37,445
1000012533,5,37,446
1000012537,5,37,447
1000012527,5,37,448
1000012531,5,37,449
1000015436,5,38,450
1000015432,5,38,451
1000015428,5,38,452
1000015426,5,38,453
1000005410,6,39,454
1000005412,6,39,455
1000005414,6,39,456
1000012859,6,39,457
1000008045,6,39,458
1000005422,6,39,459
1000007257,6,39,460
1000005426,6,39,461
1000005428,6,39,462
1000005430,6,39,463
1000005432,6,39,464
1000005460,6,39,465
1000005434,6,39,466
1000005436,6,39,467
1000005438,6,39,468
1000005440,6,39,469
1000008670,6,39,470
1000005448,6,39,471
1000005450,6,39,472
1000005452,6,39,473
1000005454,6,39,474
1000009912,6,39,475
1000009118,6,39,476
1000005307,6,40,477
1000006181,6,40,478
1000008134,6,40,479
1000008049,6,40,480
1000005313,6,40,481
1000005315,6,40,482
1000005317,6,40,483
1000007365,6,40,484
1000005319,6,40,485
1000005463,6,41,486
1000007967,6,41,487
1000005465,6,41,488
1000005467,6,41,489
1000005469,6,41,490
1000005471,6,41,491
1000005473,6,41,492
1000005481,6,41,493
1000005475,6,41,494
1000005477,6,41,495
1000005479,6,41,496
1000007316,6,41,497
1000005483,6,41,498
1000006196,6,41,499
1000005485,6,41,500
1000005487,6,41,501
1000005489,6,41,502
1000005491,6,41,503
1000005493,6,41,504
1000006187,6,41,505
1000005495,6,41,506
1000008365,6,41,507
1000005497,6,41,508
1000005499,6,41,509
1000005527,6,41,510
1000005501,6,41,511
1000006198,6,41,512
1000005503,6,41,513
1000005507,6,41,514
1000005509,6,41,515
1000005511,6,41,516
1000005513,6,41,517
1000005515,6,41,518
1000006200,6,41,519
1000006202,6,41,520
1000006190,6,41,521
1000005517,6,41,522
1000005521,6,41,523
1000005523,6,41,524
1000005525,6,41,525
1000005531,6,41,526
1000005533,6,41,527
1000005535,6,41,528
1000005537,6,41,529
1000008051,6,41,530
1000017195,6,42,531
1000005270,6,42,532
1000005272,6,42,533
1000005274,6,42,534
1000005276,6,42,535
1000005278,6,42,536
1000005280,6,42,537
1000005282,6,42,538
1000005284,6,42,539
1000007367,6,42,540
1000005288,6,42,541
1000006185,6,42,542
1000006173,6,42,543
1000005290,6,42,544
1000005292,6,42,545
1000017193,6,42,546
1000005294,6,42,547
1000005296,6,42,548
1000005300,6,42,549
1000005302,6,42,550
1000008537,6,43,551
1000008545,6,43,552
1000008543,6,43,553
1000008058,6,43,554
1000008533,6,43,555
1000008531,6,43,556
1000008060,6,43,557
1000008539,6,43,558
1000008535,6,43,559
1000008062,6,43,560
1000008064,6,43,561
1000009561,6,43,562
1000008541,6,43,563
1000008066,6,43,564
1000005540,6,44,565
1000006160,6,44,566
1000005542,6,44,567
1000005544,6,44,568
1000005545,6,44,569
1000005547,6,44,570
1000006183,6,44,571
1000005549,6,44,572
1000006162,6,44,573
1000005552,6,44,574
1000005556,6,44,575
1000005558,6,44,576
1000005560,6,44,577
1000005562,6,44,578
1000005564,6,44,579
1000017212,6,44,580
1000005568,6,44,581
1000005570,6,44,582
1000005576,6,44,583
1000005580,6,44,584
1000007308,6,44,585
1000009281,6,44,586
1000005582,6,44,587
1000007306,6,44,588
1000005584,6,44,589
1000006194,6,44,590
1000005590,6,44,591
1000005592,6,44,592
1000005594,6,44,593
1000005597,6,45,594
1000017002,6,45,595
1000008680,6,45,596
1000005599,6,45,597
1000005601,6,45,598
1000005603,6,45,599
1000015570,6,45,600
1000005605,6,45,601
1000005609,6,45,602
1000017779,6,45,603
1000005611,6,45,604
1000007324,6,45,605
1000006158,6,45,606
1000005613,6,45,607
1000005615,6,45,608
1000005617,6,45,609
1000005619,6,45,610
1000005621,6,45,611
1000007326,6,45,612
1000005623,6,45,613
1000009285,6,45,614
1000005625,6,45,615
1000005627,6,45,616
1000005629,6,45,617
1000005631,6,45,618
1000005633,6,45,619
1000005635,6,45,620
1000005637,6,45,621
1000005639,6,45,622
1000005643,6,45,623
1000005645,6,45,624
1000005647,6,45,625
1000005648,6,45,626
1000005650,6,45,627
1000009398,6,45,628
1000015572,6,45,629
1000005652,6,45,630
1000005654,6,45,631
1000009663,6,45,632
1000007720,6,45,633
1000005656,6,45,634
1000005658,6,45,635
1000005660,6,45,636
1000009287,6,45,637
1000007276,6,45,638
1000012673,6,45,639
1000005662,6,45,640
1000005682,6,45,641
1000008560,6,45,642
1000012882,6,45,643
1000005664,6,45,644
1000009102,6,45,645
1000005666,6,45,646
1000005668,6,45,647
1000005670,6,45,648
1000005672,6,45,649
1000005676,6,45,650
1000005678,6,45,651
1000005680,6,45,652
1000005688,6,45,653
1000005690,6,45,654
1000007320,6,45,655
1000005692,6,45,656
1000005694,6,45,657
1000005698,6,45,658
1000005700,6,45,659
1000009283,6,45,660
1000005704,6,45,661
1000005708,6,46,662
1000005710,6,46,663
1000005712,6,46,664
1000005714,6,46,665
1000009088,6,46,666
1000005716,6,46,667
1000005718,6,46,668
1000005722,6,46,669
1000005724,6,46,670
1000005726,6,46,671
1000005728,6,46,672
1000005730,6,46,673
1000005732,6,46,674
1000005734,6,46,675
1000005738,6,46,676
1000005736,6,46,677
1000005740,6,46,678
1000005744,6,46,679
1000005746,6,46,680
1000009669,6,46,681
1000012028,6,46,682
1000007722,6,46,683
1000005750,6,46,684
1000005752,6,46,685
1000005754,6,46,686
1000005756,6,46,687
1000005758,6,46,688
1000005760,6,46,689
1000005762,6,46,690
1000005764,6,46,691
1000005766,6,46,692
1000005768,6,46,693
1000005770,6,46,694
1000005774,6,46,695
1000005776,6,46,696
1000005780,6,46,697
1000005778,6,46,698
1000005782,6,46,699
1000005784,6,46,700
1000005786,6,46,701
1000005788,6,46,702
1000005790,6,46,703
1000005792,6,46,704
1000005794,6,46,705
1000005796,6,46,706
1000005798,6,46,707
1000005800,6,46,708
1000022213,6,46,709
1000022215,6,46,710
1000005806,6,46,711
1000005808,6,46,712
1000017842,6,46,713
1000022233,6,46,714
1000005810,6,46,715
1000005812,6,46,716
1000005814,6,46,717
1000005816,6,46,718
1000009092,6,46,719
1000005818,6,46,720
1000005820,6,46,721
1000005822,6,46,722
1000005824,6,46,723
1000014363,6,46,724
1000005826,6,46,725
1000022209,6,46,726
1000005828,6,46,727
1000005830,6,46,728
1000005832,6,46,729
1000005834,6,46,730
1000005836,6,46,731
1000005838,6,46,732
1000005842,6,46,733
1000005844,6,46,734
1000005846,6,46,735
1000005848,6,46,736
1000005850,6,46,737
1000005852,6,46,738
1000005854,6,46,739
1000005856,6,46,740
1000005858,6,46,741
1000005860,6,46,742
1000005862,6,46,743
1000005864,6,46,744
1000005866,6,46,745
1000005868,6,46,746
1000005870,6,46,747
1000008068,6,46,748
1000005874,6,46,749
1000005876,6,46,750
1000005878,6,46,751
1000005880,6,46,752
1000005882,6,46,753
1000005888,6,46,754
1000005890,6,46,755
1000005892,6,46,756
1000005894,6,46,757
1000022225,6,46,758
1000005896,6,46,759
1000017203,6,46,760
1000005898,6,46,761
1000005908,6,46,762
1000005900,6,46,763
1000005902,6,46,764
1000005904,6,46,765
1000005906,6,46,766
1000005910,6,46,767
1000005920,6,46,768
1000005916,6,46,769
1000005912,6,46,770
1000005914,6,46,771
1000013190,6,46,772
1000017024,6,46,773
1000015613,6,46,774
1000005918,6,46,775
1000005924,6,46,776
1000005926,6,46,777
1000005930,6,46,778
1000005928,6,46,779
1000005934,6,46,780
1000005936,6,46,781
1000005938,6,46,782
1000005940,6,46,783
1000005944,6,46,784
1000005946,6,46,785
1000005948,6,46,786
1000005950,6,46,787
1000009889,6,46,788
1000005952,6,46,789
1000005954,6,46,790
1000022231,6,46,791
1000005956,6,46,792
1000013159,6,46,793
1000005958,6,46,794
1000005960,6,46,795
1000005962,6,46,796
1000005966,6,46,797
